0;nothing;;;;;
1;bow;;;;;
2;brushing hair;;;;;
3;brushing teeth;;;;;
4;check time (from watch);;;;;
5;cheer up;;;;;
6;clapping;;;;;
7;cross hands in front (say stop);;;;;
8;drink water;;;;;
9;drop;;;;;
10;eat meal/snack;;;;;
11;falling;;;;;
12;giving something to other person;;;;;
13;hand waving;;;;;
14;handshaking;;;;;
15;hopping (one foot jumping);;;;;
16;hugging other person;;;;;
17;jump up;;;;;
18;kicking other person;;;;;
19;kicking something;;;;;
20;make a phone call/answer phone;;;;;
21;pat on back of other person;;;;;
22;pickup;;;;;
23;playing with phone/tablet;;;;;
24;point finger at the other person;;;;;
25;pointing to something with finger;;;;;
26;punching/slapping other person;;;;;
27;pushing other person;;;;;
28;put on a hat/cap;;;;;
29;put something inside pocket;;;;;
30;reading;;;;;
31;rub two hands together;;;;;
32;salute;;;;;
33;sitting down;;;;;
34;standing up;;;;;
35;take off a hat/cap;;;;;
36;take off glasses;;;;;
37;take off jacket;;;;;
38;take out something from pocket;;;;;
39;taking a selfie;;;;;
40;tear up paper;;;;;
41;throw;;;;;
42;touch back (backache);;;;;
43;touch chest (stomachache/heart pain);;;;;
44;touch head (headache);;;;;
45;touch neck (neckache);;;;;
46;typing on a keyboard;;;;;
47;use a fan (with hand or paper)/feeling warm;;;;;
48;wear jacket;;;;;
49;wear on glasses;;;;;
50;wipe face;;;;;
51;writing;;;;;
